country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Grenada,41.626135,44.607792,79.089601,79.561854,94.69362,87.31234,92.923461,89.056235,83.913062,91.094365,96.936934,100.68904,103.33766,108.05938,101.76427,90.099984,81.568465,70.108963,63.487403
Guatemala,21.844164,21.963857,20.04195,22.154144,22.764846,21.586279,21.877317,21.630698,20.054428,22.998502,24.490513,23.9076,24.439075,24.806219,24.67631,24.371318,24.255892,23.916149,24.457229
Guinea,91.491824,90.436484,82.610228,81.572276,86.866168,97.91528,95.221787,60.800099,58.463417,61.306075,68.772054,58.082233,27.185384,33.966743,35.090181,41.937634,42.453038,40.602924,38.212459
Guinea-Bissau,233.71853,221.73469,224.71471,212.634,220.97803,221.95033,204.04062,177.20543,163.302,158.98143,68.279566,51.690387,53.453115,57.052764,64.982091,61.726841,62.547779,57.190459,64.343911
Guyana,147.74326,134.37076,140.92058,127.72002,121.49041,118.38934,96.976851,60.976076,62.541714,67.061445,67.885367,66.752392,63.460636,57.808448,51.868178,50.100996,50.737476,51.35009,52.938061
Haiti,54.077641,48.569536,53.271004,60.838169,48.907833,46.745658,38.73408,34.19703,36.976418,26.79705,17.153473,11.804136,16.114409,21.468375,26.327514,30.255358,33.658877,30.966919,33.260996
Honduras,62.468703,59.828619,54.379924,58.108488,58.088045,43.887251,28.323016,17.156295,20.076463,23.866252,29.179924,31.593365,35.339395,43.115619,44.440621,44.325569,45.979133,47.49441,48.74468
Hong Kong SAR,no data,3.5575283,3.4686358,3.7400461,5.5431152,4.9570682,4.5897435,4.179903,3.9238929,4.8817384,5.5169867,6.0999881,6.7744724,7.6696262,7.4778596,7.295812,7.484398,6.980861,no data
Hungary,54.838827,51.306552,53.972901,56.309474,57.065677,58.621859,62.211126,62.568369,67.978148,73.505805,75.255562,75.821205,74.006552,74.561266,75.205896,74.683892,74.506406,72.662249,70.97418
Iceland,35.31088,40.49692,35.87992,34.135029,28.949607,20.569261,26.551398,24.785218,62.174483,75.420559,80.644029,88.042408,85.17871,78.153124,77.080769,62.002277,49.358635,40.08193,35.861138
India,55.595253,57.009132,59.82358,57.215179,55.133145,52.180952,49.089628,47.435384,47.496185,49.355031,44.7436,45.774017,47.092134,46.981927,46.025387,45.77384,45.619272,44.259789,43.871417
Indonesia,87.437299,71.10391,61.829978,56.254074,52.042211,43.523984,35.854049,32.333566,30.226921,26.460835,24.429159,23.097718,22.95471,24.884419,24.681673,27.459991,28.346531,29.404485,29.801138
Iran,11.893024,11.683946,21.578952,19.45138,16.200907,12.969348,11.884565,11.374549,9.0592873,10.101154,11.714435,8.9362895,12.126349,10.715442,11.822378,38.415058,47.470432,39.529947,32.176284
Iraq,no data,no data,no data,no data,344.31742,227.34427,143.16484,117.08483,74.167511,87.3751,53.532586,40.719147,34.781799,31.986994,32.862483,56.882642,64.341145,58.917663,49.254498
Ireland,37.897413,34.819792,32.277759,31.495167,29.762292,28.855451,26.08644,26.421645,45.045001,64.552556,89.663205,114.95452,123.80651,123.68813,108.66428,80.01553,77.017625,70.901009,71.080648
Israel,77.350208,81.430006,87.920136,90.571429,89.221451,86.257372,78.177743,71.268262,70.353918,73.056758,69.288792,67.422209,67.151574,65.871188,64.656453,62.37836,60.402416,58.757977,59.2439
Italy,106.1386,106.02772,103.4941,101.50717,100.92618,101.79758,101.04242,98.126398,100.74928,110.09689,112.93881,113.96361,120.8937,126.97291,130.26558,130.3025,130.34856,130.20884,131.08993
Jamaica,93.687124,110.65212,122.23924,128.78457,123.25395,127.71512,121.0697,118.24894,128.89411,145.21451,144.20927,142.73434,148.61077,142.0166,140.34737,124.04703,115.43377,102.88818,96.76342
Japan,95.735401,102.65867,111.81158,119.45382,129.27113,136.46337,137.54751,137.35417,145.20138,159.80464,167.32757,180.04141,187.07264,191.31756,194.75551,192.28884,197.63296,196.77115,198.43788
Jordan,100.47902,96.477954,99.719298,99.643751,91.822901,84.307592,76.329919,73.769503,60.244418,64.775452,67.113298,70.372936,79.056994,85.474355,87.814493,92.40774,93.757456,94.3473,94.410579
Kazakhstan,21.599997,17.700002,15.400001,13.200001,10.000001,7.0552357,5.9374266,5.3581077,6.32677,9.5136704,10.185419,9.9438014,11.950822,12.882745,14.377366,20.780457,18.899402,19.2,19.600001
Kenya,52.230343,56.2184,61.84422,60.13274,53.795142,48.343018,43.975054,38.372377,41.469013,41.094779,44.403166,43.049433,43.879995,43.959667,48.561717,51.446153,54.498704,55.179013,60.147433
Kiribati,11.850994,15.395675,11.776152,11.247671,11.983517,10.53448,11.340451,9.9252963,12.892984,9.3451882,8.4660247,8.0172681,7.4363357,8.2997985,8.6984236,19.899087,21.941433,21.619792,20.5669
"Korea, Republic of",16.68199,17.229428,17.041285,19.80319,22.421641,25.899271,28.120781,27.430753,26.948668,29.983794,29.489959,30.234556,30.800432,33.706505,35.479134,37.28732,37.621077,37.677733,37.923079
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.1187499,5.9041398,5.2497415,8.1556217,8.9890603,10.571749,13.047999,14.348983,16.305027,16.968193
Kuwait,34.915311,35.120277,29.950557,22.99772,17.301775,11.804893,8.2570115,7.0471601,5.3760998,6.653288,6.1609899,4.6410971,3.6020541,3.091986,3.4291891,4.6534537,10.017924,20.682723,14.738226
Kyrgyz Republic,123.30265,108.20749,107.94147,108.23028,92.666456,85.660709,73.35469,57.743779,49.011562,58.494401,59.69859,50.055759,50.477879,47.124756,53.596786,67.087345,59.072818,58.786107,56.025542
Lao P.D.R.,59.268133,94.724906,95.30836,90.148352,80.653409,73.202597,60.007021,55.92979,51.723481,51.822517,49.315029,43.004504,46.103242,49.493353,53.534106,53.052209,54.222905,55.799122,57.185078
Latvia,11.960807,13.701834,12.905965,12.699236,12.62842,10.124933,8.3292626,6.4987929,15.457503,31.606574,39.306441,36.556898,35.938873,35.516047,38.158432,34.587933,38.75084,35.8782,34.537424
Lebanon,148.174,163.19035,163.22504,171.42204,169.65907,178.98595,183.07438,168.9856,160.88779,144.18301,136.91523,133.88767,130.41668,135.44253,137.82448,140.71427,146.14942,148.95799,151.02976
Lesotho,88.612737,110.42158,81.756761,54.859242,48.790611,52.77338,54.80729,50.934501,44.870807,34.076652,31.819608,33.71275,36.990571,38.5448,38.843708,43.240814,37.034978,37.106596,44.526953
Liberia,420.8891,421.50333,426.56534,547.77642,473.91296,464.22043,407.55639,336.22357,197.41517,114.00387,21.94103,19.327668,17.577185,17.858158,21.675715,25.880305,28.302458,33.95709,39.91151
Libya,41.961023,41.664335,33.908786,26.244386,2.7896786,1.9395531,1.6637526,4.0953481,1.194316,2.3193922,1.7427162,11.785985,2.3731135,4.1567163,80.357941,189.27364,192.75306,142.70911,no data
Lithuania,22.167532,21.748565,21.186547,19.273596,17.747755,16.834306,16.39757,14.978309,13.393266,26.398171,33.638199,34.023636,36.763298,35.871073,37.632614,39.793335,37.657435,38.164691,33.141719
Luxembourg,3.0217423,2.9332952,2.5599031,1.6629881,1.4035854,0.82781126,1.4623628,1.4309192,8.4765989,8.7407103,13.022117,12.121016,14.127675,15.660417,15.016769,14.50596,13.510497,16.652652,16.11335
